Enigmatica 2 Expert

Water         = 20
Redstone      = 80
Quartz        = 80
Gold          = 120
Glowstone     = 120
Lapis         = 100
Diamond       = 120
Liquid Helium = 120
Enderium      = 140
Cryotheum     = 140
Iron          = 60
Emerald       = 140
Copper        = 60
Tin           = 80
Magnesium     = 100

UraniumIngot 600    48
TBU          360    21.6
TBUox        504    27
LEU235       720    60
LEU235ox     1008   75
HEU235       2880   360
HEU235ox     4032   450
LEU233       864    72
LEU233ox     1209.6 90
HEU233       3456   432
HEU233ox     4838.4 540
LEN236       540    43.2
LEN236ox     756    54
HEN236       2160   259.2
HEN236ox     3024   324
MOX239       932.4  69
MOX241       1461.6 117
LEP239       630    48
LEP239ox     882    60
HEP239       2520   288
HEP239ox     3528   360
LEP241       990    84
LEP241ox     1386   105
HEP241       3960   504
HEP241ox     5544   630
LEA242       1152   112.8
LEA242ox     1612.8 141
HEA242       4608   676.8
HEA242ox     6451.2 846
LECm243      1260   134.4
LECm243ox    1764   168
HECm243      5040   806.4
HECm243ox    7056   1008
LECm245      972    81.6
LECm245ox    1360.8 102
HECm245      3888   489.6
HECm245ox    5443.2 612
LECm247      828    64.8
LECm247ox    1159.2 81
HECm247      3312   388.8
HECm247ox    4636.8 486
LEB248       810    62.4
LEB248ox     1134   78
HEB248       3240   374.4
HEB248ox     4536   468
LECf249      1296   139.2
LECf249ox    1814.4 174
HECf249      5184   835.2
HECf249ox    7257.6 1044
LECf251      1350   144
LECf251ox    1890   180
HECf251      5400   864
HECf251ox    7560   1080
